firstname,lastname,username,identity,department,province,password,ou
Thor,Odenson,thor,Domain Admins,Avenger,Asgard,GodofLightning1!,"CN=Users,DC=marvel,DC=local"

Loki, ,loki,Domain Users,Villain,Asgard,Mischief$,"CN=Users,DC=marvel,DC=local"

Carol,Danvers,cmarvel,Domain Users,Avenger,Earth,HateKree!,"CN=Users,DC=marvel,DC=local"

T'Challa, ,panther,Domain Users,Avenger,Earth,WakandaForever!,"CN=Users,DC=marvel,DC=local"

Shuri,,shuri,Domain Users,Wakanda,Earth,WakandaPrince$$,"CN=Users,DC=marvel,DC=local"

Peter,Parker,spidy,Administrators,Avenger,Earth,Web$hooter,"CN=Users,DC=marvel,DC=local"

Tony,Stark,ironman,Administrators,Avenger,Earth,$acrificed1T,"CN=Users,DC=marvel,DC=local"

Pepper,Pots,pots,Domain Users,Civilian,Earth,MrsIronman$1,"CN=Users,DC=marvel,DC=local"

Bruce,Banner,hulk,Domain Users,Avenger,Earth,$mashEverything!,"CN=Users,DC=marvel,DC=local"

Clint,Barton,hawkeye,Domain Users,Avenger,Earth,EagelEye1!,"CN=Users,DC=marvel,DC=local"

Thanos, ,thanos,Domain Admins,Villain,Titan,InfinityStone$,"CN=Users,DC=marvel,DC=local"

Vision, ,vision,Domain Users,Avenger,Computer/Mind-Stone/Earth,Mind$tone,"CN=Users,DC=marvel,DC=local"

Yon-Rogg, ,rogg,Domain Users,Villain,Kree,BadGuy101,"CN=Users,DC=marvel,DC=local"

Rocket,Racoon,rocket,Domain Users,Guardian of Galaxy,Halfworld,NotaRat!,"CN=Users,DC=marvel,DC=local"

Peter,Quill,starlord,Domain Users,Guardian of Galaxy,Earth,Blue$ky!!72,"CN=Users,DC=marvel,DC=local"

Groot,Groot,groot,Domain Users,Guardian of Galaxy,PlanetX,IamGr00t!,"CN=Users,DC=marvel,DC=local"

Yondu,Udonta,yondu,Domain Users,Guardian of Galaxy,Earth-691,WhistleArrow!,"CN=Users,DC=marvel,DC=local"

Drax,Destroyer,drax,Domain Users,Guardian of Galaxy,Earth,KillThano$,"CN=Users,DC=marvel,DC=local"

Gamora,Titan,gamora,Domain Users,Guardian of Galaxy,Zehoberei,Soul$tone,"CN=Users,DC=marvel,DC=local"

Nebula, ,nebula,Domain Users,Guardian of Galaxy,Luphomoids,BadtoGood1,"CN=Users,DC=marvel,DC=local"

Corvus,Glaive,corvus,Domain Users,Black Order,Angargal,$killedWarror,"CN=Users,DC=marvel,DC=local"

Proxima,Midnight,proxima,Domain Users,Black Order,Angargal,EnergySpear!,"CN=Users,DC=marvel,DC=local"

Cull,Obsidian,cull,Domain Users,Black Order,Angargal,$trongCreature,"CN=Users,DC=marvel,DC=local"

Ebony,Maw,ebony,Domain Users,Black Order,Angargal,VoldemortWannaBe!,"CN=Users,DC=marvel,DC=local"

Steven,Strange,drstrange,Domain Users,Avenger,Earth,Time$tone,"CN=Users,DC=marvel,DC=local"

Bucky,Barnes,wintersolider,Domain Users,Avenger,Earth,MetalArm1!,"CN=Users,DC=marvel,DC=local"

Sam,Wilson,falcon,Domain Users,Avenger,Earth,NewCap!,"CN=Users,DC=marvel,DC=local"

Steve,Rogers,captain,Domain Users,Avenger,Earth,StarsandStripes!,"CN=Users,DC=marvel,DC=local"

Wanda,Maximoff,witch,Domain Users,Avenger,Earth,Vision$GF,"CN=Users,DC=marvel,DC=local"

Nick,Fury,fury,Domain Users,Shield,Earth,OneEye!,"CN=Users,DC=marvel,DC=local"

Scott,Lang,antman,Domain Users,Avenger,Earth,TinyDude!,"CN=Users,DC=marvel,DC=local"

Hope,Pym,wasp,Domain Users,Avenger,Earth,TinyGril!,"CN=Users,DC=marvel,DC=local"

James,Rhodes,warmachine,Domain Users,Avenger,Earth,BigGunRox!,"CN=Users,DC=marvel,DC=local"

Valkyrie, ,valkyrie,Domain Users,Valkyrie,Asgard,ChooseroftheSlain!,"CN=Users,DC=marvel,DC=local"

Happy,Hogan,hogan,Domain Users,Civilian,Earth,TonysAssistant!,"CN=Users,DC=marvel,DC=local"

Odin,Odenson,odin,Domain Users,King,Asgard,KingofAsgard!,"CN=Users,DC=marvel,DC=local"

Ultron, ,ultron,Domain Users,Villain,Computer,WhatamI?,"CN=Users,DC=marvel,DC=local"

Ronan,Accuser,ronan,Domain Users,Villain,Hala,KreeEmpire$,"CN=Users,DC=marvel,DC=local"

Charles,Xavier,professorx,Domain Users,X-Men,Earth,Telepath$,"CN=Users,DC=marvel,DC=local"

Scott,Summers,cyclops,Domain Users,X-Men,Earth,Lazer$aretheway,"CN=Users,DC=marvel,DC=local"

Robert,Drake,iceman,Domain Users,X-Men,Earth,IceIceBaby1,"CN=Users,DC=marvel,DC=local"

Henry,McCoy,beast,Domain Users,X-Men,Earth,ImaBea$t,"CN=Users,DC=marvel,DC=local"

Logan,Howlett,wolverine,Domain Users,X-Men,Earth,MetalClaw$,"CN=Users,DC=marvel,DC=local"

Piotr,Rasputin,colossus,Domain Users,X-Men,Earth,MetalMan!,"CN=Users,DC=marvel,DC=local"

Jean,Grey,pheonix,Domain Users,X-Men,Earth,PhoenixForce!,"CN=Users,DC=marvel,DC=local"

Max,Eisenhardt,magneto,Domain Users,Villain,Earth,MetalControl!,"CN=Users,DC=marvel,DC=local"

Brianna,Hildebrands,warhead,Domain Users,X-Men,Earth,TennageW@rH3ad,"CN=Users,DC=marvel,DC=local"

Wade,Wilson,deadpool,Domain Users,Independent,Earth,NotXmen!,"CN=Users,DC=marvel,DC=local"

Natasha,Romanoff,widow,Domain Users,Avenger,Earth,Hulk$mash,"CN=Users,DC=marvel,DC=local"

Natahan,Summers,cable,Domain Users,X-Force,Future,MetalControl!,"CN=Users,DC=marvel,DC=local"

